ImageId,Label
1,0
2,0
3,9
4,4
5,2
6,7
7,0
8,3
9,0
10,3
11,3
12,9
13,7
14,0
15,4
16,0
17,2
18,1
19,7
20,0
21,7
22,1
23,8
24,8
25,7
26,9
27,2
28,7
29,1
30,7
31,7
32,4
33,9
34,2
35,6
36,2
37,9
38,4
39,8
40,2
41,9
42,7
43,4
44,4
45,2
46,7
47,1
48,3
49,1
50,1
51,6
52,3
53,1
54,3
55,5
56,6
57,1
58,8
59,6
60,0
61,9
62,1
63,7
64,2
65,0
66,0
67,1
68,9
69,0
70,1
71,6
72,5
73,5
74,3
75,2
76,0
77,3
78,7
79,2
80,2
81,8
82,9
83,1
84,0
85,7
86,2
87,4
88,3
89,6
90,7
91,2
92,0
93,6
94,6
95,8
96,4
97,3
98,5
99,7
100,9
101,0
102,3
103,3
104,0
105,7
106,8
107,0
108,3
109,0
110,9
111,2
112,0
113,6
114,1
115,1
116,5
117,1
118,1
119,3
120,8
121,3
122,7
123,2
124,1
125,6
126,3
127,3
128,7
129,6
130,9
131,3
132,5
133,6
134,0
135,0
136,0
137,3
138,1
139,3
140,2
141,0
142,3
143,4
144,8
145,8
146,8
147,7
148,7
149,3
150,8
151,4
152,3
153,5
154,2
155,5
156,8
157,7
158,3
159,7
160,8
161,3
162,0
163,4
164,0
165,1
166,3
167,1
168,6
169,3
170,0
171,0
172,7
173,7
174,6
175,1
176,3
177,7
178,4
179,1
180,2
181,4
182,3
183,3
184,6
185,4
186,7
187,2
188,1
189,6
190,0
191,6
192,1
193,4
194,0
195,6
196,0
197,9
198,7
199,2
200,7
201,1
202,7
203,0
204,7
205,4
206,0
207,5
208,4
209,6
210,6
211,0
212,7
213,3
214,6
215,7
216,5
217,1
218,6
219,3
220,9
221,2
222,3
223,1
224,0
225,2
226,8
227,9
228,6
229,1
230,0
231,0
232,4
233,7
234,1
235,8
236,3
237,2
238,3
239,3
240,6
241,3
242,2
243,2
244,3
245,7
246,3
247,4
248,7
249,3
250,9
251,7
252,9
253,1
254,8
255,8
256,4
257,8
258,1
259,7
260,2
261,6
262,3
263,3
264,3
265,7
266,0
267,6
268,8
269,2
270,1
271,6
272,0
273,6
274,3
275,8
276,4
277,1
278,8
279,8
