ImageId,Label
1,0
2,0
3,8
4,8
5,6
6,9
7,0
8,8
9,0
10,3
11,3
12,6
13,9
14,0
15,4
16,0
17,4
18,9
19,9
20,6
21,7
22,1
23,5
24,1
25,7
26,1
27,0
28,4
29,1
30,7
31,2
32,9
33,3
34,2
35,5
36,7
37,8
38,5
39,3
40,6
41,3
42,7
43,6
44,4
45,4
46,7
47,4
48,5
49,8
50,8
51,6
52,4
53,1
54,0
55,6
56,4
57,1
58,6
59,5
60,0
61,9
62,6
63,8
64,2
65,0
66,0
67,1
68,6
69,2
70,1
71,0
72,6
73,5
74,4
75,2
76,0
77,9
78,3
79,0
80,6
81,6
82,8
83,1
84,2
85,7
86,2
87,5
88,5
89,4
90,4
91,2
92,0
93,6
94,0
95,8
96,4
97,5
98,2
99,7
100,4
101,4
102,8
103,9
104,0
105,8
106,4
107,0
108,2
109,0
110,9
111,3
112,0
113,2
114,9
115,1
116,8
117,9
118,1
119,4
120,5
121,8
122,7
123,9
124,6
125,1
126,4
127,5
128,9
129,4
130,7
131,7
132,8
133,6
134,0
135,0
136,0
137,5
138,1
139,3
140,0
141,8
142,6
143,4
144,5
145,5
146,3
147,9
148,7
149,3
150,6
151,8
152,5
153,5
154,5
155,6
156,5
157,2
158,3
159,7
160,5
161,8
162,0
163,5
164,2
165,1
166,2
167,9
168,5
169,7
170,0
171,0
172,7
173,3
174,2
175,1
176,7
177,7
178,3
179,1
180,2
181,4
182,4
183,2
184,5
185,3
186,7
187,8
188,1
189,1
190,0
191,2
192,8
193,3
194,4
195,3
196,0
197,9
198,7
199,5
200,9
201,1
202,7
203,0
204,9
205,5
206,0
207,3
208,4
209,3
210,3
211,0
212,8
213,0
214,5
215,8
216,2
217,1
218,6
219,5
220,7
221,2
222,5
223,7
224,0
225,8
226,3
227,1
228,4
229,9
230,0
231,0
232,7
233,7
234,1
235,3
236,8
237,6
238,4
239,8
240,8
241,2
242,5
243,2
244,3
245,4
246,9
247,3
248,4
249,6
250,9
251,9
252,4
253,7
254,4
255,6
256,3
257,5
258,1
259,7
260,0
261,8
262,6
263,5
264,5
265,7
266,2
267,0
268,5
269,5
270,1
271,6
272,0
273,3
274,8
275,4
276,4
277,1
278,8
279,8
